nbd,foodgrp,name,water,energy,protein,carb,fiber,sugar,sodium,satfat,chol
21396,Fast Foods,"FAST FOODS,CHEESEBURGER; DOUBLE,LRG PATTY; W/ CONDMNT",50.34,272,16.96,14.43,1,3.49,480,6.473,57
21397,Fast Foods,"FAST FOODS,CHESEBRGER; SING,LRG PATY; W/ CONDMNT,VEG & MAYO",50.92,268,13.69,17.73,1.1,4.5,473,5.746,51
21398,Fast Foods,"FAST FOODS,CHEESEBURGER; SINGLE,LRG PATTY; W/ CONDMNT",48.36,269,15.21,19.72,1.2,3.6,591,7.033,48
21399,Fast Foods,"FAST FDS,CHSEBURGER; DOUBLE,LRG PATTY; W/ CONDMNT,VEG & MAYO",54.56,253,15.5,12.62,1.3,3.61,405,6.519,49
21400,Fast Foods,"FAST FOODS,CHSBURGR; DBL,RG PTTY; DBL BN W/ CNDMNT & SPL SAU",50.54,261,11.94,21.53,1.4,3.26,485,5.045,36
21401,Fast Foods,"FAST FOODS,CHICK TENDERS",46.64,271,19.22,17.25,1.2,0.4,769,2.493,48
21402,Fast Foods,"MCDONALD'S,PREMIUM GRILLED CHICK CLASSIC SNDWCH",57.3,183,14.16,22.28,1.4,5.01,410,0.865,34
21403,Fast Foods,"MCDONALD'S,PREMIUM CRISPY CHICK CLASSIC SNDWCH",51.98,228,12.08,25.46,1.4,5.37,430,1.409,26
21404,Fast Foods,"MCDONALD'S,PREMIUM GRILLED CHICK CLUB SNDWCH",52.52,221,17.19,19.87,1.2,2.89,462,2.89,46
21405,Fast Foods,"MCDONALD'S,PREMIUM CRISPY CHICK CLUB SNDWCH",48.02,250,15.38,22.61,1.2,4.99,472,3.333,38
21406,Fast Foods,"MCDONALD'S,PREMIUM GRILLED CHICK RANCH BLT SNDWCH",53.61,204,16.7,21.91,1.4,5.2,495,1.463,38
21407,Fast Foods,"MCDONALD'S,PREMIUM CRISPY CHICK RANCH BLT SNDWCH",48.61,244,14.7,24.93,1.4,5.53,488,1.971,30
21410,Fast Foods,"FAST FOODS,BAGEL,W/ EGG,SAUSAGE PATTY,CHS,& CONDMNT",45.17,295,12.98,22.64,0.2,2.87,550,6.396,133
21411,Fast Foods,"FAST FOODS,BAGEL,W/ BRKFST STEAK,EGG,CHS,& CONDMNT",44.9,282,15.95,22.99,0.2,2.97,642,5.419,130
21412,Fast Foods,"LIGHT ICE CRM,SOFT SERVE,BLENDED W/ MILK CHOC CANDIES",61.74,182,4.02,26.82,0.2,24.37,54,3.633,16
21413,Fast Foods,"LIGHT ICE CRM,SOFT SERVE,BLENDED W/ COOKIE PIECES",63.9,169,3.97,25.55,0.1,21.19,75,2.754,15
21415,Fast Foods,"POPEYES,BISCUIT",26.52,401,6,40.95,3.8,3.46,745,11.515,2
21416,Fast Foods,"POPEYES,COLESLAW",72.84,161,0.98,14.12,1.7,10.83,218,1.887,7
21417,Fast Foods,"POPEYES,MILD CHICK STRIPS,ANALYZED 2006",45.18,271,19.2,19.31,0.8,0,922,5.442,52
21418,Fast Foods,"POPEYES,SPICY CHICK STRIPS,ANALYZED 2006",47.11,253,19.61,18.52,1.2,0,997,4.743,53
21419,Fast Foods,"KFC,BISCUIT",28.4,358,7.5,43.55,2,4.04,1070,11.916,1
21420,Fast Foods,"KFC,COLESLAW",73.99,144,0.91,15.65,2,13.54,189,1.303,2
21421,Fast Foods,"KFC,CRISPY CHICK STRIPS",47.93,274,20.25,13.66,1.4,0,948,2.887,51
21422,Fast Foods,"KFC,POPCORN CHICK",35.62,351,17.67,21.18,1,0,1140,3.954,40
21436,Fast Foods,"KFC,FRIED CHICK,ORIGINAL RECIPE,THIGH,MEAT & SKN W/ BREADING",52.09,269,18.9,8.46,0,0,781,4.123,104
21437,Fast Foods,"KFC,FRIED CHICK,ORIGINAL RECIPE,WING,MEAT & SKN W/ BREADING",46.4,297,21.7,9.93,0,0,884,4.251,113
21456,Fast Foods,"POPEYES,FRIED CHICK,MILD,BREAST,MEAT & SKN W/ BREADING",49.48,274,21.67,9.83,0.4,0,540,5.765,98
21458,Fast Foods,"POPEYES,FRIED CHICK,MILD,THIGH,MEAT & SKN W/ BREADING",46.4,310,19.14,11.2,0.5,0,685,7.344,107
21459,Fast Foods,"POPEYES,FRIED CHICK,MILD,WING,MEAT & SKN W/ BREADING",40.9,338,20.4,13.52,0.6,0,788,8.021,114
21461,Fast Foods,"GRILLED CHICK,BACON & TOMO CLB SNDWCH,W/ CHS,LETTUCE,& MAYO",52.52,220,17.19,19.87,1.2,4.68,630,3.109,46
21462,Fast Foods,"CRISPY CHICK,BACON,& TOMATO CLUB SNDWCH,W/ CHS,LETUCE,& MAYO",48.02,257,15.38,22.61,1.2,4.99,605,3.372,38
21463,Fast Foods,"YOGURT PARFAIT,LOWFAT,W/ FRUIT & GRANOLA",78.98,84,3.36,15.86,1.1,11.68,49,0.525,3
21464,Fast Foods,"FAST FOODS,FRIED CHICK,BREAST,MEAT ONLY,SKN & BRDING REMOVED",65.61,153,27.93,0,0,0,512,1.18,97
21465,Fast Foods,"FAST FOODS,FRIED CHICK,DRMSTK,MEAT ONLY,SKN & BRDING REMOVED",64.24,172,26.24,0,0,0,492,2.004,133
21466,Fast Foods,"FAST FOODS,FRIED CHICK,THIGH,MEAT ONLY,SKN & BREDING REMOVED",64.96,178,23.21,0.24,0,0,577,2.484,125
21467,Fast Foods,"FAST FOODS,FRIED CHICK,WING,MEAT ONLY,SKN & BREADING REMOVED",56.16,215,28.77,2.13,0,0,761,2.651,148
21469,Fast Foods,"FAST FOODS,FRIED CHICK,BREAST,MEAT & SKN & BREADING",55.45,230,23.51,6.03,0.1,0,657,3.316,92
21470,Fast Foods,"FAST FOODS,FRIED CHICK,DRUMSTK,MEAT & SKN W/ BREADING",51.92,267,21.13,7.59,0.5,0,591,4.458,111
21471,Fast Foods,"FAST FOODS,FRIED CHICK,THIGH,MEAT & SKN & BREADING",51.37,274,19.23,8.68,0.1,0,747,4.832,106
21472,Fast Foods,"FAST FOODS,FRIED CHICK,WING,MEAT & SKN & BREADING",44.57,310,21.14,11.19,0.1,0,867,5.358,114
21474,Fast Foods,"DIGIORNO PIZZA,CHS TOPPING,RISING CRUST,FRZ,BKD",43.95,256,12.8,31.78,2.4,5,696,3.514,15
21477,Fast Foods,"DIGIORNO PIZZA,PEPPERONI TOPPING,RISING CRUST,FRZ,BKD",43.32,265,12.46,31.15,2.3,5.1,743,3.761,18
21479,Fast Foods,"DIGIORNO PIZZA,SUPREME TOPPING,RISING CRUST,FRZ,BKD",46.8,255,11.74,27.93,2.3,4.71,712,3.965,19
21482,Fast Foods,"FAST FD,PIZZA CHAIN,14"" PIZZA,SAUSAGE TOPPING,THICK CRUST",43.22,282,11.06,30.36,2.3,2.82,637,4.805,23
21483,Fast Foods,"FAST FD,PIZZA CHAIN,14"" PIZZA,SAUSAGE TOPPING,THIN CRUST",38.83,321,13.36,27,2.5,3.02,782,6.888,36
21484,Fast Foods,"FAST FD,PIZZA CHAIN,14"" PIZZA,SAUSAGE TOPPING,REG CRUST",43.06,280,11.5,30.62,2.3,3.32,633,5.033,23
21485,Fast Foods,"FAST FD,PIZZA CHAIN,14"" PIZZA,PEPPERONI TOPPING,THIN CRUST",36.05,331,14.01,29,2.3,3.22,875,7.115,37
21486,Fast Foods,"FAST FOODS,TACO W/ BF,CHS & LETTUCE,SOFT",58.78,206,9.25,20.23,2.9,1.57,560,4.155,25
21487,Fast Foods,"FAST FOODS,TACO W/ CHICK,LETTUCE & CHS,SOFT",58.42,189,13.3,19.69,1.2,1.3,613,2.559,29
21488,Fast Foods,"FAST FOODS,QUESADILLA,W/ CHICK",42.62,294,15.05,24.04,1.7,1.88,745,6.154,37
21490,Fast Foods,"FAST FDS,GRILLED CHICK FILET SNDWCH,W/ LETTUCE,TOMATO & SPRD",60.44,182,17.34,16.78,0.9,3.08,427,0.949,40
21491,Fast Foods,"PIZZA HUT 14"" PEPPERONI PIZZA,THIN 'N CRISPY CRUST",33.57,333,14.13,32.66,2.1,2.79,967,6.674,37
21492,Fast Foods,"DOMINO'S 14"" PEPPERONI PIZZA,CRUNCHY THIN CRUST",38.53,328,13.88,25.35,2.6,3.65,783,7.557,38
21493,Fast Foods,"DOMINO'S 14"" SAUSAGE PIZZA,CRUNCHY THIN CRUST",40.38,319,12.77,25.3,2.6,3.42,725,7.079,35
21494,Fast Foods,"DOMINO'S 14"" SAUSAGE PIZZA,CLASSIC HAND-TOSSED CRUST",43.55,273,11.08,31.84,2.4,3.92,594,4.607,21
21495,Fast Foods,"DOMINO'S 14"" SAUSAGE PIZZA,ULTIMATE DEEP DISH CRUST",43.12,277,11.03,31.17,2.6,3.82,677,4.755,23
21496,Fast Foods,"PIZZA HUT 14"" SAUSAGE PIZZA,THIN 'N CRISPY CRUST",37.28,323,13.95,28.7,2.4,2.62,839,6.698,37
21497,Fast Foods,"PIZZA HUT 14"" SAUSAGE PIZZA,HAND-TOSSED CRUST",42.57,287,11.92,29.39,2.3,2.72,671,5.459,26
21498,Fast Foods,"PIZZA HUT 14"" SAUSAGE PIZZA,PAN CRUST",43.33,287,11.08,29.56,2,1.82,596,4.855,23
21499,Fast Foods,"KASHI PIZZA,RSTD VEG",51.6,224,12.5,24.5,3.7,2.9,546,3.3,16
21500,Fast Foods,"KASHI Pizza, Mushroom Trio & Spinach",51.6,224,12.7,24.6,3.9,2.3,587,4,23
21501,Fast Foods,"KASHI PIZZA,MARGHERITA",49.9,230,12.8,25.7,3.8,3.3,560,3.5,17
21503,Fast Foods,"KASHI PIZZA,MEDITERRANEAN",46.4,242,12.7,31,4.1,2.8,531,3.2,12
21505,Fast Foods,"PIZZA,CHS TOPPING,THIN CRUST,FRZ,CKD",46.01,263,11.91,28.8,3,3.71,471,5.698,21
21510,Fast Foods,"WENDY'S,DAVE'S HOT 'N JUICY 1/4 LB,SINGLE",50.92,268,13.69,17.73,1.1,4.5,473,5.746,51
21511,Fast Foods,"FAST FD,PIZZA CHAIN,14"" PIZZA,CHS TOPPING,STUFFED CRUST",43.37,274,12.23,30,1.7,2.9,615,5.825,30
